Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,C,kernel,degree,gamma,coef0,shrinking,tol,random_state
sa-heart_1498,2,0.8260869565217391,0.0055024623870849,0.0014538764953613,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4850276961165724,linear,3,auto,0.5212187207002003,False,0.0003087347664594,0
sa-heart_1498,2,0.8260869565217391,0.0056424140930175,0.0014789104461669,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7.1665412405626,poly,2,scale,-0.0875834660477001,False,0.0006853734556165,0
sa-heart_1498,2,0.8260869565217391,0.0039055347442626,0.0010168552398681,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.333055067014209,poly,5,0.17098305611626582,0.1473890656932484,False,0.0032541079462986,0
sa-heart_1498,2,0.8260869565217391,0.0041356086730957,0.0010130405426025,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.595962607039244,linear,5,0.0340357667956915,-0.0914041776195222,False,0.0008157778030061,0
autoUniv-au6-400_1551,3,0.45,0.0063400268554687,0.001004934310913,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.664889659037049,linear,2,auto,0.0869057993157895,False,0.001990706564187,0
autoUniv-au6-400_1551,3,0.45,0.0087182521820068,0.0012948513031005,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4116765163925965,linear,4,scale,-0.2613147529828324,True,0.0066243230943117,0
autoUniv-au6-400_1551,3,0.45,0.0066397190093994,0.0010461807250976,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.8556122801830846,linear,3,auto,0.1077299470252141,False,0.0006579198038586,0
autoUniv-au6-400_1551,3,0.45,0.0065138339996337,0.0010607242584228,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.415078187278564,poly,5,auto,0.3766780663277977,False,0.0036947041967787,0
autoUniv-au6-400_1551,3,0.425,0.006728172302246,0.0010826587677001,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.7468619273707513,poly,4,scale,0.4847497840747067,True,0.0017528503578576,0
autoUniv-au6-400_1551,3,0.425,0.0065765380859375,0.001204490661621,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2966958969087431,poly,3,0.44744355912535033,0.3615809256861402,True,0.0008936957020965,0
