Dataset,Fold,Fold Accuracy,Training Time,Testing Time,Imputer Strategy_none,Imputer Strategy_simpleimputer,Categorical Strategy_none,Categorical Strategy_onehot,Categorical Strategy_ordinalencoder,Feature Selection_extra_tree,Feature Selection_fastica,Feature Selection_feature_agglomeration,Feature Selection_generic_univariate,Feature Selection_kernel_pca,Feature Selection_linear_svc,Feature Selection_none,Feature Selection_nystroem,Feature Selection_pca,Feature Selection_polynomial_features,Feature Selection_random_trees_embedding,Feature Selection_rbf_sampler,Feature Selection_select_percentile,Feature Selection_truncated_svd,Scaler_minmax,Scaler_none,Scaler_normalizer,Scaler_power,Scaler_quantile,Scaler_robust,Scaler_standard,n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,random_state
autoUniv-au6-400_1551,0,0.425,0.1955673694610595,0.0052325725555419,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,entropy,15.0,2,1,,True,0
autoUniv-au6-400_1551,2,0.425,0.1670646667480468,0.005216360092163,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,entropy,,6,1,sqrt,True,0
autoUniv-au6-400_1551,0,0.425,0.1927278041839599,0.0051774978637695,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,88,log_loss,9.0,2,1,sqrt,False,0
autoUniv-au6-400_1551,0,0.425,0.1642186641693115,0.005483865737915,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87,gini,6.0,2,1,sqrt,True,0
autoUniv-au6-400_1551,0,0.425,0.1930391788482666,0.0051870346069335,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,log_loss,17.0,2,1,log2,True,0
autoUniv-au6-400_1551,0,0.425,0.159639835357666,0.0054187774658203,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,91,log_loss,22.0,2,1,sqrt,False,0
autoUniv-au6-400_1551,2,0.425,0.1783740520477295,0.0058679580688476,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,95,entropy,,6,1,log2,True,0
autoUniv-au6-400_1551,2,0.425,0.1703979969024658,0.0053019523620605,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,log_loss,,2,1,sqrt,True,0
autoUniv-au6-400_1551,0,0.425,0.1953585147857666,0.0052103996276855,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109,gini,,4,2,sqrt,True,0
autoUniv-au6-400_1551,2,0.425,0.1659243106842041,0.0054249763488769,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,entropy,,2,3,sqrt,True,0
autoUniv-au6-400_1551,0,0.425,0.2114052772521972,0.0053870677947998,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,144,gini,22.0,4,2,sqrt,True,0
autoUniv-au6-400_1551,0,0.425,0.1976525783538818,0.0052950382232666,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,189,log_loss,,2,1,sqrt,True,0
autoUniv-au6-400_1551,0,0.425,0.1935374736785888,0.0064315795898437,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,91,log_loss,16.0,5,1,,True,0
autoUniv-au6-400_1551,0,0.4125,0.1951134204864502,0.0055491924285888,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,104,gini,20.0,3,1,sqrt,True,0
autoUniv-au6-400_1551,0,0.4125,0.1706907749176025,0.0053701400756835,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,entropy,,2,2,sqrt,False,0
analcatdata_marketing_986,1,0.7671232876712328,0.1255326271057129,0.0056319236755371,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,125,entropy,34.0,2,1,sqrt,True,0
analcatdata_marketing_986,1,0.7671232876712328,0.1265351772308349,0.0047156810760498,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142,entropy,20.0,2,1,sqrt,False,0
analcatdata_marketing_986,1,0.7671232876712328,0.1227781772613525,0.0043787956237792,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,entropy,,2,2,,True,0
